Sample,X,f1(x),f2(x),f3(x),f4(x),S(x)
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002000200020002,0.012567296546851691,0.037693950278986844,0.06279679094209129,0.08785995987255578,0.2009179976404856
2,0.004000400040004,0.02513260817493523,0.07533432467868763,0.12534570208228749,0.17504038204094316,0.4008530169768535
3,0.006000600060006,0.037693950278986844,0.11286762346929971,0.18739983208264469,0.26086698456814933,0.5988283903990805
4,0.008000800080008,0.050249338880702016,0.15024049911175302,0.24871423267079903,0.34467595640164805,0.7938800270649021
5,0.010001000100010001,0.06279679094209129,0.18739983208264469,0.3090468755321967,0.42581909150548103,0.9850625900624137
6,0.012001200120012,0.07533432467868763,0.2242928063750859,0.36815960767627964,0.5036688022980301,1.1714555410280831
7,0.014001400140014001,0.08785995987255578,0.26086698456814933,0.42581909150548103,0.5776229736199112,1.3521690095660974
8,0.016001600160016,0.1003717181850541,0.2970703823582171,0.48179772587626246,0.6471096196898122,1.5263494461093456
9,0.018001800180018002,0.11286762346929972,0.33285154244629594,0.5358745445164623,0.7115913080298537,1.6931850184619117
10,0.020002000200020003,0.12534570208228749,0.3681596076762797,0.5878360882526013,0.7705693161443842,1.8519107141555526
11,0.022002200220022004,0.1378039831966133,0.40294439332020576,0.6374772476041749,0.8235874888030948,2.0018131129240886
12,0.024002400240024,0.15024049911175302,0.4371564584077631,0.6846020724189332,0.870235766094964,2.1422347960334136
13,0.026002600260026,0.16265328556484723,0.47074717599866855,0.7290245453532482,0.9101533549659054,2.2725783618826694
14,0.028002800280028002,0.17504038204094316,0.5036688022980301,0.7705693161443842,0.9430315197104095,2.392310020193767
15,0.030003000300030003,0.18739983208264469,0.5358745445164623,0.809072393776256,0.9686159698346021,2.5009627402099652
16,0.032003200320032,0.19972968359912144,0.5673186273784993,0.844381793806465,0.9867088268222054,2.5981389316062913
17,0.034003400340034004,0.21202798917442817,0.5979563581847768,0.8763581382994003,0.9971701545917891,2.6835126402503944
18,0.036003600360036005,0.22429280637508592,0.6277441903355053,0.9048752059972661,0.9999190418082534,2.756831244516111
19,0.038003800380038005,0.23652219805687605,0.6566397852249489,0.9298204305573317,0.9949342276775938,2.8179166415167503
20,0.040004000400040006,0.24871423267079903,0.6846020724189333,0.951095344888693,0.9822542663848447,2.86666591636327
21,0.04200420042004201,0.26086698456814933,0.7115913080298537,0.9686159698346021,0.9619772289033862,2.903051491335991
22,0.04400440044004401,0.27297853430465857,0.7375691312062101,0.9823131456661062,0.9342599444819167,2.9271207556588914
23,0.04600460046004601,0.2850469689436587,0.7624986186563782,0.9921328050784798,0.8993167876756814,2.938995180354198
24,0.048004800480048,0.2970703823582171,0.7863443371291224,0.9980361866128443,0.8574180203034537,2.9388689264036376
25,0.05000500050005,0.3090468755321966,0.809072393776256,0.9999999876605268,0.8088877011541167,2.927006958123096
26,0.052005200520052,0.32097455686019194,0.8306504843258641,0.9980164564461996,0.7541011796098587,2.903742677242114
27,0.054005400540054004,0.3328515424462959,0.8510479389976254,0.9920934226267145,0.6934821925711243,2.8694750966417604
28,0.056005600560056004,0.34467595640164805,0.870235766094964,0.9822542663848447,0.6274995871366497,2.8246655760181065
29,0.058005800580058005,0.3564459311407183,0.8881866932120769,0.9685378261399339,0.5566636943864519,2.769834144879181
30,0.060006000600060005,0.36815960767627964,0.9048752059972661,0.9509982452397487,0.4815223823141193,2.705555441227414
31,0.062006200620062006,0.3798151359130221,0.9202775844174805,0.9297047582386931,0.40265681843632184,2.6324542970055176
32,0.064006400640064,0.39141067493976284,0.9343719364725225,0.904741417606014,0.32067697485290164,2.551201003871201
33,0.066006600660066,0.4029443933202057,0.9471382293110001,0.8762067619427746,0.23621691052288313,2.4625062950968633
34,0.06800680068006801,0.41441446938220405,0.9585583177037988,0.8442134270172487,0.14992986724482754,2.367116081348079
35,0.07000700070007,0.425819091505481,0.9686159698346021,0.8088877011541167,0.06248321727082614,2.265805979765026
36,0.07200720072007201,0.4371564584077632,0.9772968903708044,0.7703690267324763,-0.02544669836907017,2.159375677141974
37,0.074007400740074,0.4484247794292802,0.9845887407820233,0.7288094497604395,-0.11317980090987668,2.048643169061866
38,0.07600760076007601,0.45962227481558815,0.9904811568773343,0.6843730196990063,-0.20003753380357642,1.934438917588352
39,0.078007800780078,0.47074717599866855,0.9949657635362977,0.6372351419043327,-0.2853481108976873,1.8175999705416115
40,0.08000800080008001,0.48179772587626246,0.9980361866128444,0.5875818852444947,-0.3684517122493846,1.6989640854842167
41,0.082008200820082,0.49277217908939236,0.9996880619950972,0.5356092476238395,-0.4487055873890272,1.5793639013193022
42,0.08400840084008401,0.5036688022980301,0.9999190418082534,0.4815223823141193,-0.5254890265627977,1.459621199857605
43,0.086008600860086,0.5144858744548654,0.9987287977517105,0.4255347881463568,-0.5982081615052186,1.3405412988477141
44,0.08800880088008801,0.5252216870771345,0.9961190215656928,0.3678674667600099,-0.6663005586108175,1.2229076167920196
45,0.09000900090009001,0.5358745445164623,0.9920934226267145,0.30874805023605945,-0.7292395689798266,1.1074764483994097
46,0.09200920092009202,0.5464427642266796,0.9866577226752997,0.2484099025575411,-0.7865384016932568,0.9949719877662635
47,0.09400940094009401,0.5569246770295686,0.9798196476834483,0.1870911984443552,-0.8377538888132876,0.8860816343440847
48,0.096009600960096,0.5673186273784993,0.9715889168734124,0.12503398319849945,-0.8824899129892415,0.7814516144611695
49,0.09800980098009801,0.5776229736199112,0.9619772289033862,0.06248321727082614,-0.9204004711589016,0.6816829486352218
50,0.1000100010001,0.5878360882526011,0.9509982452397487,-0.00031419067925789873,-0.951192350649513,0.5873277921635789
51,0.10201020102010201,0.5979563581847768,0.9386675707394886,-0.06311035841432197,-0.9746273969806231,0.4988861735293203
52,0.104010401040104,0.6079821849888322,0.9250027314704139,-0.12565740859247623,-0.9905243558288283,0.4168031520379417
53,0.10601060106010601,0.6179119851538101,0.9100231498006693,-0.18770844722161237,-0.9987602749080744,0.3414664128247926
